Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.oil,alpha.oilMean,arc_length,nut,p,pMean,p_rgh,vtkValidPointMask
0,-0.0055,0.004,0,0.00680074,-2.00386e-14,-3.05804e-16,6.10631e-16,2.00503e-14,-5.26287e-14,1.85066e-15,2.74165e-15,5.27325e-14,1,0.999649,0,8.6373e-08,103010,68376.3,103044,1
1,-0.0055,0.004006,0,0.00680427,1.53991,0.0239961,-0.0462002,1.54079,4.05069,-0.131055,-0.212678,4.05838,0.999996,0.998794,6.00005e-06,3.72001e-07,99175.6,68046.4,99209.5,1
2,-0.0055,0.004012,0,0.0068078,3.08223,0.0490259,-0.0910174,3.08397,8.12046,-0.239902,-0.42967,8.13536,0.999992,0.997938,1.20001e-05,6.45857e-07,95371.5,67718.6,95405.5,1
3,-0.0055,0.004018,0,0.00681134,4.6232,0.0744419,-0.134903,4.62577,12.1655,-0.333762,-0.652951,12.1876,0.999988,0.997075,1.80001e-05,9.11269e-07,92115,67437.4,92148.9,1
4,-0.0055,0.004024,0,0.00681488,6.16309,0.100298,-0.177815,6.16647,16.1891,-0.411958,-0.882374,16.2184,0.999984,0.99621,2.40002e-05,1.16837e-06,88991.6,67166,89025.6,1
5,-0.0055,0.00403,0,0.00681842,7.68011,0.125457,-0.21857,7.68425,20.1107,-0.486839,-1.09059,20.1461,0.999882,0.995234,3.00002e-05,1.43916e-06,85827,66880.8,85861,1
6,-0.0055,0.004036,0,0.00682197,8.2211,0.0978918,-0.209727,8.22436,20.2626,-1.13119,-0.123192,20.2945,0.995461,0.989443,3.59998e-05,2.71048e-06,79404.5,65939,79438.5,1
7,-0.0055,0.004042,0,0.00682552,8.76426,0.0717821,-0.200678,8.76685,20.4314,-1.75664,0.826164,20.5234,0.991006,0.983643,4.19999e-05,4.02358e-06,73097.4,65005.7,73131.3,1
8,-0.0055,0.004048,0,0.00682908,9.30956,0.0471401,-0.191422,9.31165,20.6172,-2.36302,1.75727,20.8264,0.986519,0.977834,4.79999e-05,5.37864e-06,66907,64081,66940.7,1
9,-0.0055,0.004054,0,0.00683264,9.85702,0.0239763,-0.181958,9.85873,20.8202,-2.95018,2.66998,21.197,0.981998,0.972015,5.39999e-05,6.77598e-06,60834,63164.9,60867.7,1
